numero_faq;problema;solucao;categoria_faq;;;;;
68037; Assuntos Relacionados a Cesta Básica;"O MAPA não trata mais de assuntos relacionados a cesta básica, para saber a respeito deverá procurar a Companhia Nacional de Abastecimento - CONAB. Para obter informações sobre o preço da Cesta Básica Nacional, consulte o endereço eletrônico:DIEESE - Departamento Intersindical de Estatística e Estudos Socioeconômicos http://www.dieese.org.br . Segue o link dos telefones dos escritórios regionais do DIEESE: 
<a href=""https://www.dieese.org.br/materialinstitucional/ers.html"">https://www.dieese.org.br/materialinstitucional/ers.html</a> 
.";DEMANDA::SIC::AGRICULTURA::ABASTECIMENTO::ABASTECIMENTO::ABASTECIMENTO;;;;;
68039;AGENCIA DE DEFESA AGROPECUARIA;" ADAB- Agência Estadual de Defesa Agropecuária da Bahia   
Endereço: Avenida Adhemar de Barros, 967 - Ondina - Salvador/BA 
CEP: 40170-110 
Telefone: (71) 3116-8400 
Site: http://www.adab.ba.gov.br 
  
 ADAGRO - Agência de Defesa e Fiscalização Agropecuária de Recife   
Endereço: Av. Caxangá, nº 2200 – Cordeiro - Recife/PE 
CEP: 50711-000 
Telefone: (81) 3181-4500    
Site: <a href=""http://www.adagro.pe.gov.br"">http://www.adagro.pe.gov.br</a> 
  
 ADAPEC - Agência de Defesa Agropecuária do Estado do Tocantins   
Endereço: 104 Sul, Rua SE-01 - Lote-44 Centro – Palmas/TO  
CEP. 77.020-014 
Telefone: (63) 3218-2128 3218-2305 ou 3218-2134 
Site: http://adapec.to.gov.br 
Segue link para mais contatos; <a href=""http://adapec.to.gov.br/contatos/sede/"">http://adapec.to.gov.br/contatos/sede/</a> 
  
 ADAPI - Agência de Defesa Agropecuária do Piauí  
Endereço: Rua 19 de Novembro, 1980- Morro da Esperança – Teresina/PI 
CEP: 64.002-000 
Telefone: 86 3221-7142 
Site: <a href=""http://www.adapi.pi.gov.br"">http://www.adapi.pi.gov.br</a> 
  
 ADEPARÁ - Agência de Defesa Agropecuária do Pará   
Endereço: Av. Pedro Miranda com a Tv Angustura Nº 1666, B - Altos. 
Belém/PA - Pedreira 
CEP: 66087- 490 
Telefone: 3210-1102  Site: <a href=""http://www.adepara.pa.gov.br"">http://www.adepara.pa.gov.br</a> 
  
 AGED - Agência Estadual de Defesa Agropecuária do Maranhão   
Endereço: Av. Marechal Castelo Branco - Edifício Jorge Nicolau, 13 - São Luis/MA. 
CEP: 65076-090 
Telefone: (98) 3218-8410 
Site: <a href=""http://www.aged.ma.gov.br"">http://www.aged.ma.gov.br</a> 
  
 AGRODEFESA – Agência Goiana de Defesa Agropecuária   
Endereço: Av. Circular, nº 466, Qd 87, Lt. 2 - Setor Pedro Ludovico - Goiânia/GO 
CEP: 74.823-020 
Site: <a href=""http://www.agrodefesa.go.gov.br"">http://www.agrodefesa.go.gov.br</a> 
Segue link para contato; <a href=""http://www.agrodefesa.go.gov.br/pagina/ver/12388/contatos"">http://www.agrodefesa.go.gov.br/pagina/ver/12388/contatos</a> 
   
 CDA - Coordenadoria de Defesa Agropecuária do Estado de São Paulo  
Endereço: Av. Brasil, 2340 Campinas/SP 
CEP: 13070-178 
Telefone: (19) 3045-3350 
Site: <a href=""http://www.cda.sp.gov.br"">http://www.cda.sp.gov.br</a> 
  
 ADERR - Agencia de Defesa Agropecuária de   
Endereço: Rua CEI.Mota, 1142 - Centro Boa Vista/RR 
CEP: 69301-120 
Telefone: (95) 3198-8600 / 0800 095 2476 
Site: <a href=""http://www.aderr.rr.gov.br"">www.aderr.rr.gov.br</a> 
   
 DIAGRO - Agência de Defesa e Inspeção Agropecuária   
Endereço: Av. Tupinambá de Almeida,169 Laguinho .Amapá/AP 
Telefone: (96) 99126-6729 
Site: <a href=""http://www.ap.gov.br"">http://www.ap.gov.br</a> 
  
 IAGRO - Agência Estadual de Defesa Sanitária Animal e Vegetal  
Endereço: Av. Senador Filinto Müller 1146 - Campo Grande/MS 
CEP: 79074-902 
Telefone: (67) 3901-2714/ 3901-2717/3901-2668  
Site: <a href=""http://www.iagro.ms.gov.br"">http://www.iagro.ms.gov.br</a> 
   
 IDARON - Agência de Defesa Sanitária Agrosilvopastoril do Estado de Rondônia  
Endereço: Av. Farquar, 2986 - Bairro Pedrinhas - Palácio Rio Madeira (CPA), 5º andar, curvo 2 
CEP 76.801-470 - Porto Velho - Rondônia 
Telefone: (69) 3216-5118 / 3229-6707/ 0800 643 4337 
Site: <a href=""http://www.idaron.ro.gov.br"">http://www.idaron.ro.gov.br</a>";DEMANDA::SIC::AGRICULTURA::AGENCIA DE DEFESA AGROPECUARIA::AGENCIA DE DEFESA AGROPECUARIA::AGENCIA DE DEFESA AGROPECUARIA;;;;;
68040;SIGNIFICADO AGRICULTURA DE SUBSISTENCIA;Significado de Agricultura de Subsistência É uma modalidade que tem como principal objetivo a produção de alimentos para garantir a sobrevivência do agricultor e de sua família. A plantação é feita geralmente em pequenas propriedades com pouco ou nenhum recurso tecnológico. Os instrumentos agrícolas mais usados são a enxada, a foice e o arado. Raramente são utilizados tratores ou outro tipo de máquina.;DEMANDA::SIC::AGRICULTURA::AGRICULTURA DE SUBSISTENCIA::AGRICULTURA DE SUBSISTENCIA::AGRICULTURA DE SUBSISTENCIA;;;;;
68041;AGRICULTURA FAMILIAR;"O cultivo da terra é realizado por pequenos proprietários rurais, tendo como mão-de-obra essencialmente o núcleo familiar.A Agricultura Familiar possibilita aos agricultores familiares agregar valor aos seus produtos, bem como melhorar a renda e as condições gerais de vida de suas famílias, promovendo o desencadeamento de um processo de descentralização do desenvolvimento. 
 
Para maiores informações acesse o link: http://www.mda.gov.br/sitemda/noticias/o-que-%C3%A9-agricultura-familiar ";AGRICULTURA-AGRICULTURA FAMILIAR;;;;;
68042;AGRICULTURA ORGANICA OU BIOLÓGICA;"  Agricultura orgânica ou agricultura biológica é um termo frequentemente usado para a produção de alimentos e produtos animais e vegetais que não fazem uso de produtos químicos sintéticos ou alimentos geneticamente modificados, e geralmente adere aos princípios de agricultura sustentável.Para ser considerado orgânico, o produto tem que ser produzido em um ambiente de produção orgânica, onde se utiliza como base do processo produtivo os princípios agroecológicos que contemplam o uso responsável do solo, da água, do ar e dos demais recursos naturais, respeitando as relações sociais e culturais. 
  Na agricultura orgânica não é permitido o uso de substâncias que coloquem em risco a saúde humana e o meio ambiente. Não são utilizados fertilizantes sintéticos solúveis, agrotóxicos e transgênicos. 
  O Brasil, em função de possuir diferentes tipos de solo e clima, uma biodiversidade incrível aliada a uma grande diversidade cultural, é sem dúvida um dos países com maior potencial para o crescimento da produção orgânica.";AGRICULTURA-AGRICULTURA ORGANICA;;;;;
68044;ORGANIZAÇÃO DE CONTROLE SOCIAL - OCS;"Organização de Controle Social- OCS é definida como ""grupo, associação, cooperativa ou consórcio a que está vinculado o agricultor familiar em venda direta, previamente cadastrado no Ministério da Agricultura, Pecuária e Abastecimento (VIII do Art. 2 do Decreto Nº 6.323/07).A garantia da qualidade orgânica é do produtor, baseada na relação de confiança entre quem vende e quem compra acompanhado de perto pela sociedade. Os produtores devem permitir que seus consumidores e os dos órgãos de fiscalização visitem sua propriedade, sempre que preciso, para que possam verificar o que é produzido e de que forma. Os produtores ligados às OCS não podem colocar o selo federal do SisOrg em seus produtos.É permitida, apenas, a venda direta de seus produtos ao consumidor, à merenda escolar (através do Programa Nacional de Alimentação Escolar - PNAE) ou à CONAB (Programa de Aquisição de Alimentos - PAA).Para poder comercializar seus produtos diretamente ao consumidor, as OCS devem se cadastrar junto à Superintendência Federal de Agricultura da unidade federada ou UTRA onde se localize (Art. 25 e 28 do Decreto Nº 6.323/07), atendidas às exigências da IN 19/09 contidas em seus Art. 96 e 97 e nas Seções I e II de seu Capítulo III. Para o cadastramento   a OCS deve apresentar os formulários (modelos sugeridos nos Anexos V, VI e VII da IN 19/09) preenchidos, mais documentos que relatem como se dão os controles interno e o social sobre a produção e comercialização, além de declaração oficial de cada produtor comprovando a condição de agricultor familiar. Esta comprovação, de acordo com a Lei Nº 11.326/06, se dá atualmente pela apresentação da DAP - Declaração de Aptidão ao Pronaf.Não foi estabelecido um formulário padronizado para a descrição dos controles interno e social, devido as variações entre os diferentes grupos e princípios agroecológicos utilizados. A descrição do controle social deve conter, no mínimo, os procedimentos a seguir:- Frequência de reuniões entre os membros- Frequência de visitas entre os membros a cada unidade de produção controlada pelas OCS- Medidas para garantir a rastreabilidade dos produtos- Providências tomadas pelo grupo quando algum membro não cumpre com as normas da produção orgânica acordadas.";AGRICULTURA-AGRICULTURA ORGANICA;;;;;
68045;A Coordenação de Agroecologia - Coagre, da Secretaria de Desenvolvimento Agropecuário e Cooperativismo (SDC);"A Coordenação de Agroecologia - Coagre, da Secretaria de Desenvolvimento Agropecuário e Cooperativismo (SDC), é o setor do Ministério da Agricultura que responde pelas ações de desenvolvimento da agricultura orgânica. Tem como funções a promoção, o fomento, a elaboração de normas e a implementação de mecanismos de controle. 
Para obter informações sobre orgânicos, solicitamos que seja feita uma consulta no site do Ministério da Agricultura, Pecuária e Abastecimento, conforme o procedimento indicado abaixo:  
1. Acessar o endereço eletrônico: http://www.agricultura.gov.br  
2. Clique em: Sustentabilidade 
3. Clique em: Orgânicos  
Outras informações:E-mail: organicos@agricultura.gov.br  
Obs: Em caso de dúvidas informar ao cidadão o telefone da Superintendência Federal de Agricultura no Estado. 
Segue o link http://www.agricultura.gov.br/sfa";AGRICULTURA-AGRICULTURA ORGANICA;;;;;
68046;PRODUTOS FITOSSANITÁRIOS ;"Para obter informações sobre os produtos fitossanitários com uso aprovado para Agricultura Orgânica, solicitamos: 
1- Acessar o site: http://www.agricultura.gov.br 
2- Clicar no link: Sustentabilidade 
3- Clicar em: Orgânicos 
4- Selecionar a opção: Produtos Fitossanitários.";AGRICULTURA-AGRICULTURA ORGANICA;;;;;
68047;PROGRAMA DE DESENVOLVIMENTO DA AGRICULTURA ORGÂNICA - PRÓ-ORGÂNICO ;"  O Programa de Desenvolvimento da Agricultura Orgânica - Pró-Orgânico, estabelece as ações que passam pelo desenvolvimento e capacitação organizacional e tecnológica do mercado orgânico, bem como o aprimoramento e adequação de marcos regulatório e promoção e fomento à produção e comercialização dos produtos. O Pró-Orgânico serve, ainda, para apoiar e fortalecer os setores da produção, processamento e comercialização de produtos orgânicos e estimular o crescimento deste segmento do agronegócio brasileiro. 
  As ações propostas serão desenvolvidas por todas as unidades do MAPA e por suas vinculadas em articulação com entidades do setor público e privado do segmento orgânico. Esse trabalho terá como principais fóruns de articulação a Câmara Setorial da Agricultura Orgânica, as Comissões da Produção Orgânica nas Unidades da Federação (CPOrg – UF) e a Comissão Nacional da Produção Orgânica (CNPOrg). 
 
OBS: As legislações referentes aos produtos orgânicos estão disponíveis no site do MAPA, no link ""SISLEGIS"".";AGRICULTURA-AGRICULTURA ORGANICA;;;;;
68048;REGISTRO DE PRODUTOS ORGÂNICOS. ;" Dependendo da sua classe são registrados no MAPA, Ministério da Saúde, Anvisa, Meio Ambiente, etc. A qualidade orgânica é apenas mais um atributo do alimento, não o livrando dos demais controles aos quais são submetidos os alimentos convencionais. Legislação e Atos normativos Relacionados:Instrução normativa conjunta nº 01 de 24/05/11 Instrução normativa nº 64 de 18/12/2008 Decreto nº 6.323 de 27/12/2007 . 
E-mail: organicos@agricultura.gov.br 
 
Obs: Em caso de dúvidas informar ao cidadão o telefone da Superintendência Federal de Agricultura em seu estado. 

  -----------------  
  

<h3> Regularização da Produção Orgânica no MAPA </h3>
 

  Como se regularizar?  

 Para que possam comercializar seus produtos no Brasil como ""Orgânicos"", os produtores devem se regularizar de uma das formas a serguir: 

 • Obter certificação por um Organismo da Avaliação da Conformidade Orgânica (OAC) credenciado junto ao Ministério da Agricultura, Pecuária e Abastecimento - MAPA; ou 

 • Organizar-se em grupo e cadastrar-se junto ao MAPA para realizar a venda direta sem certificação. 

   Qual a diferença entre ter e não ter a certificação?  

 Quando o produtor se cadastrou apenas para venda direta sem certificação, não pode vender para terceiros, só na feira (ou direto ao consumidor) e para as compras do governo (merenda e CONAB). 
Quando o produto é certificado, pode vender seu prouto em feiras, mas, também, para supermercados, lojas, restaurantes, hotéis, indústrias, internet etc. 

  Como saber se o produto é orgânico, mesmo?  

 Para vender na feirinha, o produtor sem certificação deve apresentar um documento chamado Declaração de Cadastro, que demonstra que ele está cadastrado junto ao MAPA e que faz parte de um grupo que se responsabiliza por ele. Neste caso, só o produtor, alguém de sua família ou de seu grupo pode estar na barraca, vendendo o produto. Essa Declaração deve ser mostrada sempre que o consumidor e a fiscalização pedirem. 

 Já os produtos vendidos em mercados, supermercados, lojas, devem estampar o selo federal do SisOrg em seus rótulos, sejam produtos nacionais ou estrangeiros. Se o produto for vendido a granel deve estar identificado corretamente, por meio de cartaz, etiqueta ou outro meio. 

 Os restaurantes, lanchonetes e hotéis que servem pratos orgânicos ou pratos com ingredientes orgânicos devem manter à disposição dos consumidores listas dos ingredientes orgânicos e dos fornecedores deste ingredientes. 

  O que acontece se uma loja expuser à venda um produto sem selo, cujo rótulo diz que é orgânico?  

 O produto será apreendido e a loja, avisada por escrito sobre os cuidados a tomar. 
Quando o produto sem selo está em uma embalagem original, o responsável é sempre o produtor; neste caso, ele será autuado e poderá ser multado. Quando o produto estiver em outra embalagem, como da própria loja ou mercado, ou a granel (aberto), respondem pela irregularidade tanto o produtor como o responsável pelo ponto de venda. 

  Que cuidados o comerciante pode tomar para ter certeza de que está adquirindo produtos verdadeiramente orgânicos?  

 A Nota Fiscal com a descrição do produto como orgânico não é plena garantia de procedência. O comprador deve exigir do produtor que os rótulos dos produtos venham com o selo federal do SisOrg. No caso de produtos não pré-embalados, como verdures e legumes, pode pedir cópia do certificado orgânico do produto e, mesmo, um outro documento chamado Declaração de Transação Comercial, que tanto o produtor como a certificadora podem emitir. Em todos os casos, o comprador pode consultar o Cadastro Nacional de Produtores Orgânicos, disponível no sítio do MAPA, na internet. 

  Sou produtor e quero me regularizar. Como faço?  

 A certificação pode ser obtida pela contração de uma Certificadora por Auditoria ou se ligando a um Sistema Participativo de Garantia - SPG, que deverá estar sob certificação de um Organismo Participativo de Avaliação da Qualidade Orgânica - OPAC 

 No caso de contração da Certificadora por Auditoria, o produtor receberá visitas de inspeção inicial e periódicas e manterá obrigações perante o MAPA e a certificadora, com custo a ser estabelecido em contrato. Se o produtor descumprir as normas, a certificadora retira seu certificado e informa ao MAPA. Procure na lista de Entidades Regularizadas as Certificadoras por Auditoria já credenciadas pelo MAPA. 

 No caso da certificação por OPAC, o produtor deve participar ativamente do grupo ou núcleo a que estiver ligado, comparecendo a reuniões periódicas e o próprio grupo garante a qualidade orgânica de seus produtos, sendo que todos tomam conta de todos e respondem, juntos, se houver fraude ou qualquer irregularidade que não apontarem e corrigirem. Se o produtor não corrigir, o grupo deve excluí-lo, cancelar o certificado e informar ao MAPA. Procure na lista de Entidades Regularizadas os OPAC já credenciados pelo MAPA. 

 Caso o interesse seja apenas pela venda direta ou institucional, os produtores podem formar uma Organização de Controle Social - OCS. 

  E para produzir ou trazer produtos orgânicos de fora do Brasil?  

 Mesmo os produtores estrangeiros, para que possam comercializar seus produtos no Brasil como ""Orgânicos"", devem ser certificados por uma certificadora credenciada junto ao Ministério da Agricultura, Pecuária e Abastecimento - MAPA, e atender às normativas específicas brasileiras. Produtos certificados por normas internacionais (como NOP, EU, JAS) não são reconhecidos automaticamente como orgânicos, devendo ser certificados para a norma BR. 
 
Para verificação da legislação aplicada ao assunto, acessar o Portal do MAPA através do seguinte link: 
 
http://www.agricultura.gov.br/assuntos/sustentabilidade/organicos/regularizacao-da-producao 
 
http://www.agricultura.gov.br/assuntos/sustentabilidade/organicos/legislacao-organicos ";AGRICULTURA-AGRICULTURA ORGANICA;;;;;
