UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
TO;Tocantinópolis;TO0010758;Ativo;**.***.663/***-**;AGRONORTE LOGISTICA E AGRONEGOCIOS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Tomazina;PR0051250;Ativo;***.***.843-**;Maristela de Fátima da Silva Souza;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;Tomazina;PR0051250;Ativo;***.***.843-**;Maristela de Fátima da Silva Souza;QUALIDADE VEGETAL;PROCESSADOR;;
RS;Torres;RS0072117;Ativo;**.***.647/***-**;COOPERATIVA REGIONAL AGROPECUARIA SUL CATARINENSE;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Três Corações;MG0032107;Ativo;**.***.971/***-**;Exportadora de Cafés Carmo de Minas Ltda.;QUALIDADE VEGETAL;EMBALADOR;;
MG;Três Corações;MG0032107;Ativo;**.***.971/***-**;Exportadora de Cafés Carmo de Minas Ltda.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Três Corações;MG0041840;Ativo;**.***.919/***-**;CAFÉ FINO DE TRÊS CORAÇÕES LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Três Corações;MG0041840;Ativo;**.***.919/***-**;CAFÉ FINO DE TRÊS CORAÇÕES LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Três Corações;MG0031330;Ativo;**.***.583/***-**;CAFÉ TERRA DO REI LTDA ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RS;Três de Maio;RS0036803;Ativo;**.***.225/***-**;Rio Grande Agrícola S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Três Pontas;MG0021229;Ativo;**.***.685/***-**;cooperativa dos cafeicultores da zona de tres pontas ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
RJ;Três Rios;RJ0008087;Ativo;**.***.378/***-**;cereais bramil ltda.;QUALIDADE VEGETAL;IMPORTADOR;;
SC;Tubarão;SC0007528;Ativo;**.***.494/***-**;COOPERATIVA AGROPECUARIA DE TUBARÃO -  COPAGRO;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Tupã;SP0064190;Ativo;**.***.960/***-**;JULIANA PEANUTS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Tupã;SP0073890;Ativo;**.***.139/***-**;GARCIA COMÉRCIO DE AMENDOIM LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Tupã;SP0100919;Ativo;**.***.774/***-**;AMENCO AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Tuparendi;RS0039667;Ativo;**.***.013/***-**;JOSÉ DINON E CIA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
RS;Turuçu;RS0066982;Ativo;**.***.287/***-**;GRUPO 35 INDUSTRIA, COMERCIO E DISTRIBUIÇÃO DE ALIMENTOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Turvo;SC0023060;Ativo;**.***.942/***-**;PANELACO ALIMENTOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
SC;Turvo;SC0023396;Ativo;**.***.721/***-**;DALON ALIMENTOS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SC;Turvo;SC0022993;Ativo;**.***.470/***-**;vital alimentos ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Turvo;SC0044105;Ativo;**.***.529/***-**;BENDO LOGISTICA LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Uberaba;MG0034983;Ativo;**.***.978/***-**;RAZERA UBERCOTTON IND E COM DE ALGODÃO LTDA - EPP;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Uberaba;MG0019909;Ativo;**.***.845/***-**;PRODUTOS ALIMENTICIOS ORLANDIA S A COMERCIO E INDUSTRIA;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Uberaba;MG0018732;Ativo;**.***.181/***-**;ALIANÇA AGRÍCOLA DO CERRADO S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Uberaba;MG0035475;Ativo;**.***.798/***-**;COMMENDA AGRICOLA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Uberaba;MG0037818;Ativo;**.***.064/***-**;MARIA ALVES BORGES SILVA - ME;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Uberaba;MG0037818;Ativo;**.***.064/***-**;MARIA ALVES BORGES SILVA - ME;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Uberaba;MG0022225;Ativo;**.***.225/***-**;MARCA AGRO MERCANTIL LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
